"pixel no"	"mm" 	"pixel val" 	"dark frame"	"flat field"	"corrected"	"smoothed"
       219	     1,752	       914	     0,000	 65535,000	   -57,846	   -57,846
       220	     1,760	       978	     0,000	 65535,000	     6,154	     6,154
       221	     1,768	       994	     0,000	 65535,000	    22,154	    22,154
       222	     1,776	       946	     0,000	 65535,000	   -25,846	   -25,846
       223	     1,784	       978	     0,000	 65535,000	     6,154	     6,154
       224	     1,792	       994	     0,000	 65535,000	    22,154	    22,154
       225	     1,800	       946	     0,000	 65535,000	   -25,846	   -25,846
       226	     1,808	       962	     0,000	 65535,000	    -9,846	    -9,846
       227	     1,816	       962	     0,000	 65535,000	    -9,846	    -9,846
       228	     1,824	       946	     0,000	 65535,000	   -25,846	   -25,846
       229	     1,832	       994	     0,000	 65535,000	    22,154	    22,154
       230	     1,840	       946	     0,000	 65535,000	   -25,846	   -25,846
       231	     1,848	       994	     0,000	 65535,000	    22,154	    22,154
       232	     1,856	       962	     0,000	 65535,000	    -9,846	    -9,846
       233	     1,864	       994	     0,000	 65535,000	    22,154	    22,154
       234	     1,872	       994	     0,000	 65535,000	    22,154	    22,154
       235	     1,880	       978	     0,000	 65535,000	     6,154	     6,154
       236	     1,888	       978	     0,000	 65535,000	     6,154	     6,154
       237	     1,896	       930	     0,000	 65535,000	   -41,846	   -41,846
       238	     1,904	       946	     0,000	 65535,000	   -25,846	   -25,846
       239	     1,912	       946	     0,000	 65535,000	   -25,846	   -25,846
       240	     1,920	       978	     0,000	 65535,000	     6,154	     6,154
       241	     1,928	       946	     0,000	 65535,000	   -25,846	   -25,846
       242	     1,936	       978	     0,000	 65535,000	     6,154	     6,154
       243	     1,944	       994	     0,000	 65535,000	    22,154	    22,154
       244	     1,952	       962	     0,000	 65535,000	    -9,846	    -9,846
       245	     1,960	       962	     0,000	 65535,000	    -9,846	    -9,846
       246	     1,968	       946	     0,000	 65535,000	   -25,846	   -25,846
       247	     1,976	       930	     0,000	 65535,000	   -41,846	   -41,846
       248	     1,984	       946	     0,000	 65535,000	   -25,846	   -25,846
       249	     1,992	       946	     0,000	 65535,000	   -25,846	   -25,846
       250	     2,000	       930	     0,000	 65535,000	   -41,846	   -41,846
       251	     2,008	       978	     0,000	 65535,000	     6,154	     6,154
       252	     2,016	       978	     0,000	 65535,000	     6,154	     6,154
       253	     2,024	      1026	     0,000	 65535,000	    54,154	    54,154
       254	     2,032	       978	     0,000	 65535,000	     6,154	     6,154
       255	     2,040	       994	     0,000	 65535,000	    22,154	    22,154
       256	     2,048	       994	     0,000	 65535,000	    22,154	    22,154
       257	     2,056	       946	     0,000	 65535,000	   -25,846	   -25,846
       258	     2,064	       962	     0,000	 65535,000	    -9,846	    -9,846
       259	     2,072	       962	     0,000	 65535,000	    -9,846	    -9,846
       260	     2,080	       962	     0,000	 65535,000	    -9,846	    -9,846
       261	     2,088	       962	     0,000	 65535,000	    -9,846	    -9,846
       262	     2,096	       962	     0,000	 65535,000	    -9,846	    -9,846
       263	     2,104	       962	     0,000	 65535,000	    -9,846	    -9,846
       264	     2,112	      1010	     0,000	 65535,000	    38,154	    38,154
       265	     2,120	       978	     0,000	 65535,000	     6,154	     6,154
       266	     2,128	       994	     0,000	 65535,000	    22,154	    22,154
       267	     2,136	       978	     0,000	 65535,000	     6,154	     6,154
       268	     2,144	       946	     0,000	 65535,000	   -25,846	   -25,846
       269	     2,152	       946	     0,000	 65535,000	   -25,846	   -25,846
       270	     2,160	       946	     0,000	 65535,000	   -25,846	   -25,846
       271	     2,168	       946	     0,000	 65535,000	   -25,846	   -25,846
       272	     2,176	       978	     0,000	 65535,000	     6,154	     6,154
       273	     2,184	       978	     0,000	 65535,000	     6,154	     6,154
       274	     2,192	       962	     0,000	 65535,000	    -9,846	    -9,846
       275	     2,200	       930	     0,000	 65535,000	   -41,846	   -41,846
       276	     2,208	       962	     0,000	 65535,000	    -9,846	    -9,846
